tag_id,language_id,pattern,example,iso_transliteration,sanskrit_translation,english_translation,gender_marking,syntactic_condition
28,1,शतृ/शानच् +अस्,सः प्रातःकालात् कार्यं कुर्वन् अस्ति।,saḥ prātaḥkālāt kāryaṁ kurvan asti.,,,,"The present continuous progressive tense in Kannada is called the ಹೋಗುತ್ತಿರುವ (hogutthiriuva) tense. It is used to describe an action that is happening now and continuing for a period of time. The tense is formed by combining the auxiliary verb ಇರು (iru) ""to be"" with the continuous form of the verb. The continuous form of the verb is created by adding the suffix -ುತ್ತ (-utt) to the root verb.

For example, the sentence ""I am reading a book"" in Kannada would be:

ನಾನು ಪುಸ್ತಕವನ್ನು ಓದುತ್ತಿದ್ದೇನೆ (naanu pusthakavaannu odutthiriddenu)

The verb ಓದುತ್ತಿದ್ದೇನೆ (odutthiriddenu) is the continuous form of the verb ಓದು (odhu) ""to read."" The auxiliary verb ಇರು (iru) is in the present tense, and the suffix -ುತ್ತ (-utt) is added to the root verb to create the continuous form.

Here are some more examples of the present continuous progressive tense in Kannada:

    ಅವರು ಊಟ ಮಾಡುತ್ತಿದ್ದಾರೆ (avaru ootada maaddutthiraare) - They are eating.
    ನಾವು ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದೇವೆ (naanu kelasa maaddutthiruva) - We are working.
    ಅವಳು ಹಾಡುತ್ತಿದ್ದಾಳೆ (avalu haadutthiruvaale) - She is singing."
28,2,जा रहा/रही/रहे है ,वह सुबहसे काम करते जा रहा  है।,vaha subahasē kāma karatē jā rahā hai.,,,,
28,3,,ಅವರು ಬೆಳಗ್ಗಿನಿಂದಲೇ ಕೆಲಸ ಮಾಡ್ತಿದ್ದಾರೆ.,"""""""nānu pustaka ōdide.",,,,
29,1,"Present- सः/सा/तत् भवति (3s), ते/ताः/तानि भवन्ति (3s pl), त्वं भवसि (2n si), यूयं भवथ (2n pl), अहं भवामि (1s si), वयं भवामः (1s pl) ",अहम् अत्र अस्मि।,aham atra asmi.,,,,
29,2,"सामान्य वर्तमानकाल  होना- Present है (3s, pl,1pl), हॅू (1s), हो (2s, pl),  वो है। वह है। वे है। हम है। तुम हो। आप है।",Present मै यहाँ  हॅू।तू यहाँ  है (familiar) तुम/आप यहाँ  हो(polite)। वह है। यहाँ बारिश है।,present mai yahām̐ hæū.tū yahām̐ hai (familiar) tuma/āpa yahām̐ hō(polite). vaha hai. yahām̐ bāriśa hai.,,,,
29,3,"Present- tense marker *utta
ಅವರು ಪ್ರತಿ ದಿನ ಎರಡು ಸಲ ಊಟಮಾಡುತ್ತಾರೆ.
They eat meals twice a day.
","ನಾನು ಇಲ್ಲಿ ಇದ್ದೇನೆ, ನೀನು ಇಲ್ಲಿ ಇದ್ದಿ. ನೀವು ಎಲ್ಲಿ ಇದ್ದೀರಿ. ಇವರು ಇದ್ದಾರೆ. ಇಲ್ಲಿ ಮಳೆ ಇದೆ.",avanu hōgibiṭṭiddanu.,,,,
30,1,निष्ठान्त+अस् in लट्,अहम् आगतः अस्मि।,aham āgataḥ asmi.,,,,"The present perfect tense in Kannada is called the ಹಿಂದಿನ ಕಾಲದಲ್ಲಿ ನಡೆದಿರುವ ಭೂತಕಾಲ (hindina kaaladalli nadeddiraagaa bhootakaal). It is used to describe an action or situation that has happened in the past but has a connection to the present. For example, ""I have read this book before"" or ""I have been to this place before.""

The present perfect tense in Kannada is formed by using the auxiliary verb ಹೊಂದಿರುವ (hondiravuga) with the past participle of the main verb. For example, the past participle of the verb ""to read"" is ಓದಿರುವ (oduvuga). So, the present perfect tense form of the verb ""to read"" is ಹೊಂದಿರುವ ಓದಿರುವ (hondiravuga oduvuga), which means ""has read.""

Here are some examples of the present perfect tense in Kannada:

    ನಾನು ಈ ಪುಸ್ತಕವನ್ನು ಹಿಂದೆ ಓದಿದ್ದೇನೆ (naanu ee pusthakavannu hinde oduvdidene) - I have read this book before.
    ನಾನು ಈ ಸ್ಥಳಕ್ಕೆ ಹಿಂದೆ ಬಂದಿದ್ದೇನೆ (naanu ee sthalakke hinde bandiddene) - I have been to this place before.
    ಅವರು ಈ ಕೆಲಸವನ್ನು ಪೂರ್ಣಗೊಳಿಸಿದ್ದಾರೆ (avaru ee kelsavannu poornagolisiddarenu) - They have completed this work"
30,2,Verb with आ suffix + m. चुका है f. चुकी है।,मै आ चुका हू। हम खेल चुके है। ,mai ā cukā hū. hama khēla cukē hai.,,,,
30,3,,ನಾನು ಬಂದಿದ್ದೇನೆ. ನಾವು ಆಡಿದ್ದೇವೆ.,nāḷe maḷeyāguttade.,,,,
31,1,"-अक, -कर in compound",सा लेखिका अस्ति।,sā lēkhikā asti.,,,,"The habitual aspect in Kannada is expressed using the verb ಹಬಿಚೂಅಲ (habichula). This verb is derived from the noun ಹಬ್ಬ (habba), which means ""habit"" or ""custom."" The habitual aspect is used to describe actions that are done regularly or on a repeated basis.

Here are some examples of the habitual aspect in Kannada:

    ನಾನು ಪ್ರತಿದಿನ ಕೆಲಸಕ್ಕೆ ಹೋಗುತ್ತೇನೆ (naanu prathidina kelsakke hoguddenu) - I go to work every day.
    ಅವರು ಬೆಳಿಗ್ಗೆ ಓದುತ್ತಾರೆ (avaru belagige odataru) - They read in the morning.
    ನಾವು ವಾರಕ್ಕೊಮ್ಮೆ ಚಿತ್ರಮಂದಿರಕ್ಕೆ ಹೋಗುತ್ತೇವೆ (naanu vaarakkommune chitramandirakke hoguddevenu) - We go to the cinema once a week.

The habitual aspect can also be used to describe actions that are done in the past, but that are still considered to be habitual. For example, you could say:

    ನಾನು ಚಿಕ್ಕವನಿದ್ದಾಗ ಪ್ರತಿದಿನ ಶಾಲೆಗೆ ಹೋಗುತ್ತಿದ್ದೆ (naanu chikkuvaniddagannu prathidina shaalege hoguddidene) - I used to go to school every day when I was a child.

The habitual aspect is a versatile grammatical feature that can be used to express a variety of meanings. By understanding how to use it, you can make your Kannada more expressive and nuanced."
31,2,जातिवाचक कृदन्त ,वह लेखक है।,vaha lēkhaka hai.,,,,
31,3,The habitual aspect in Kannada is expressed using the verb root followed by  suffixes -ಪ್ರತಿ (-prathi) and -ತುತ್ತ (-tutha) [google],ಅವರು ಬರಹಗಾರ ಆಗಿದ್ದಾರೆ.,avaḷu āḍidaḷu She played,,,,
32,1,ति-ते,अद्य वृष्टिः भवति। अहं भारतदेशं गच्छामि। Statement: बालकः हसति। Question: युवां कुत्र गच्छथः। Negation: भवन्तः कथं न पठन्ति।,adya vr̥ṣṭiḥ bhavati. ahaṁ bhāratadēśaṁ gacchāmi. Statement: bālakaḥ hasati. Question: yuvāṁ kutra gacchathaḥ. Negation: bhavantaḥ kathaṁ na paṭhanti.,,,,
32,2,"Verb: _(3p,m,s)ता है,(3p,f,s and pl) _ती है, (1,2,3p,m.pl)_ते है, (1p,m,s)_ता हूँ, (p,pl)_ती हूँ Auxiliary verbs: हूँ, हो, है, हैं",आज बारिश हो रही है |(Present Progressive in HIndi) “It is raining today.” मैं भारत जा रहा हूँ | “I am going to India.” [Statement: बालक हसता है। Interrogative: तुम दोनो कहा जाते हो? Negetive: आप क्यो नही पढते?],āja bāriśa hō rahī hai .(present progressive in hindi) “it is raining today.” maiṁ bhārata jā rahā hūm̐ . “i am going to india.” [statement: bālaka hasatā hai. interrogative: tuma dōnō kahā jātē hō? negetive: āpa kyō nahī paḍhatē?],,,,"Main verb with present tense marker. Gender and person mapping is required.  कर्ता with zero suffix.
Pronoun        Masculine Form        Feminine Form
मैं        करता हूँ        करती हूँ
हम        करते हैं        करती हैं
आप        करते हैं        करती हैं
तुम        करते हो        करती हो
तू        करता है        करती है
यह/वह        करता है        करती है
ये/वे        करते हैं        करती हैं"
32,3,tt,ಇಂದು ಮಳೆ ಆಗುತ್ತಿದೆ. |  “It is raining today.” ನಾನು ಭಾರತಕ್ಕೆ ಹೋಗುತ್ತಿದ್ದೇನೆ  “ I am going to India.” ಬಾಲಕರು ನಗುತ್ತಾರೆ “Boys laugh ನೀವು ಇಬ್ಬರೂ ಎಲ್ಲಿಗೆ ಹೋದುತ್ತೀರಿ? तुम दोनो कहा जाते हो? ನೀವು ಏಕೆ ಓದುವುದಿಲ್ಲ आप क्यो नही पढते?,ṁdu maḷe āguttide. | “It is raining today.” nānu bhāratakke hōguttiddēne “ I am going to India.” bālakaru naguttāre “Boys laugh nīvu ibbarū ellige hōduttīri? तुम दोनो कहा जाते हो? nīvu ēke ōduvudilla आप क्यो नही पढते?,,,,
33,1,"अस्ति। भू, वृत्, कृ",एतद् चन्दनम् अस्ति। -- need to change,ētad candanam asti. -- need to change,,,,
33,2,verb: है,यह चन्दन है। वह दिल्ली में रहती है – “She lives in Delhi”,yaha candana hai. vaha dillī mēṁ rahatī hai – “she lives in delhi”,,,,"[* Should not be mistaken with Hindi continuous aspect of the present tense. हो (होना) + रही (fem of aux verb रहना)+ है combine the verb stem (हो, which represents the basic meaning of the verb, i.e. “to be”), a form of रही (which represents the continuous aspect and is in agreement with the gender and number of the कर्म).]]"
33,3,verb iru in accordance with the gender and number,ಇಂದು ಚಂದನ.,iṁdu caṁdana.,,,,
34,1,"लौकिक संस्कृत - Imperative or optative (लोट् or लिङ्)  is used in the sense of subjunctive.  
भवा॑ति॒ / भवा॑त् (only Vedic cannot be used in लौकिक) 
""Vedic forms and possible लौकिक forms in the bracket.
भवाति (भवति), भवान्ति (भवन्ति)
कृणोति (करोति), अकृण्वन् (अकुर्वन्)
शृणवत् / शृण्वति (शृणोति)
पर्षत् (पारयतु) (ऋसं १।९९।१)
अकारिषम् (करवाणि) (ऋसं ४।४०।६)
करत् (करोतु) (ऋसं ४।४०।६)
तारिषत् (तारयतु) (ऋसं ४।४०।६)
पताति (पतति)
कृधि (कुरु)""","यद्यहं धनवान् स्याम, तर्हि सर्वेभ्यः सहायतां करोमि।
देवो नः शुभं कृणोतु।
यथा भवति तथैव कुरु।","yadyahaṁ dhanavān syāma, tarhi sarvēbhyaḥ sahāyatāṁ karōmi.
dēvō naḥ śubhaṁ kr̥ṇōtu.
yathā bhavati tathaiva kuru.","यदि अहम् धनवान् स्याम, तर्हि सर्वेभ्यः सहायतां करोमि।
देवाः नः शुभं कृणोतु।
यथा भवति तथा एव कुरु।","If I were wealthy, I would help everyone.
May God bless us.
Do as it is.",,
34,2,"The subjunctive mood is used under certain circumstances in subordinate clauses, typically for actions that are subjective or otherwise uncertain. ","मैं चाहता हूँ कि वह हिंदी सीखें।  अगर आप हिंदी सीखना चाहें तो यह लेख आप के लिए उपयोगी होगा। बच्चा विद्यालय जाना शुरु करे, इससे पहले उसके माता-पिता को कुछ तैयारियां करनी चाहिए। वह खाना ऐसे खा गया जैसे कि उसने कई दिनों से कुछ न खाया हो। EXTRA EXAMPLES: “कृपया मंदिर के बहार अपने जूते उतार दें” – “Please remove your shoes outside the temple”
“कृपया रेलिंग से दुरी बनाये रखें” – “Please keep a distance from the railing”
If you fly on an airplane in India, you will hear announcements that use the subjunctive mood, such as:

सभी यात्रियों से निवेदन है कि वे अपनी कुर्सी की पेटी बांध लें – “We request that all passengers fasten their seat belt”
सभी यात्रियों से अनुरोध है कि वे अपना सामान अकेला न छोड़ें – “We request that all passengers not leave their baggage unattended” काश कि मैं हिंदी बोल सकता (I wish that I could speak Hindi) Subjunctive to form polite QUESTION: मैं क्या करूं What should I do? हम बाहर बैठें – “Shall we sit outside?” कुछ पैसा दूँ – “Should I give some money?” Passive polite QUESTION to request: कुछ खाना खाया जाए? – “Should we eat some food?” This sentence is literally “Shall some food be eaten?”. The implied agency is “by us”. Interrogative Subjunctive  Imperative Subjunctive (Polite) : First Person Imperative अन्दर चलें – “Let’s go inside” जाते हैं – “Let’s go” मैं आपको याद दिला दूं कि उसने क्या किया है – “Let me remind you what he has done”  Second Person Imperative उनको बताएँ – “Please tell them”
Such imperatives are negated by न:

उनको न बताएँ – “Please do not tell them”
अपना नाम यहाँ लिखें – “Please write your name here” Third Person Imperative चोट न लग जाए – “Don’t let (someone) get hurt”
बच्चे सडकों पर न खेलें – “Do not let the children play in the streets” Optative Subjunctive  जन्मदिन मुबारक हो – “Happy birthday” – literally, “May your birthday be happy (auspicious)”
खुश रहो – “May you remain happy”
भगवान तुम्हें सफलता दें – “May God grant you success”
आपके दुश्मान मर जाएं – “May your enemies die!” To Express Nescience Often idioms involving the subjunctive mood like न जाने “no one knows” or कौन जाने “who knows” will be used.

कौन जाने कल बारिश हो या न हो – “Who knows whether it will rain tomorrow or not”
खुदा जाने – “God only knows”  Permission: क्या मैं अंदर आऊं – “May I come inside?”  Disjunctions
The subjunctive mood is used with statements like “whether … or”:

मानो या न मानो – “Believe it or not…”   अव्ययs like शायद, काश, कहीं, चाहे","maiṁ cāhatā hūm̐ ki vaha hiṁdī sīkhēṁ. agara āpa hiṁdī sīkhanā cāhēṁ tō yaha lēkha āpa kē liē upayōgī hōgā. baccā vidyālaya jānā śuru karē, isasē pahalē usakē mātā-pitā kō kucha taiyāriyāṁ karanī cāhiē. vaha khānā aisē khā gayā jaisē ki usanē kaī dinōṁ sē kucha na khāyā hō. extra examples: “kr̥payā maṁdira kē bahāra apanē jūtē utāra dēṁ” – “please remove your shoes outside the temple”
“kr̥payā rēliṁga sē durī banāyē rakhēṁ” – “please keep a distance from the railing”
if you fly on an airplane in india, you will hear announcements that use the subjunctive mood, such as:

sabhī yātriyōṁ sē nivēdana hai ki vē apanī kursī kī pēṭī bāṁdha lēṁ – “we request that all passengers fasten their seat belt”
sabhī yātriyōṁ sē anurōdha hai ki vē apanā sāmāna akēlā na chōṛēṁ – “we request that all passengers not leave their baggage unattended” kāśa ki maiṁ hiṁdī bōla sakatā (i wish that i could speak hindi) subjunctive to form polite question: maiṁ kyā karūṁ what should i do? hama bāhara baiṭhēṁ – “shall we sit outside?” kucha paisā dūm̐ – “should i give some money?” passive polite question to request: kucha khānā khāyā jāē? – “should we eat some food?” this sentence is literally “shall some food be eaten?”. the implied agency is “by us”. interrogative subjunctive imperative subjunctive (polite) : first person imperative andara calēṁ – “let’s go inside” jātē haiṁ – “let’s go” maiṁ āpakō yāda dilā dūṁ ki usanē kyā kiyā hai – “let me remind you what he has done” second person imperative unakō batāēm̐ – “please tell them”
such imperatives are negated by na:

unakō na batāēm̐ – “please do not tell them”
apanā nāma yahām̐ likhēṁ – “please write your name here” third person imperative cōṭa na laga jāē – “don’t let (someone) get hurt”
baccē saḍakōṁ para na khēlēṁ – “do not let the children play in the streets” optative subjunctive janmadina mubāraka hō – “happy birthday” – literally, “may your birthday be happy (auspicious)”
khuśa rahō – “may you remain happy”
bhagavāna tumhēṁ saphalatā dēṁ – “may god grant you success”
āpakē duśmāna mara jāēṁ – “may your enemies die!” to express nescience often idioms involving the subjunctive mood like na jānē “no one knows” or kauna jānē “who knows” will be used.

kauna jānē kala bāriśa hō yā na hō – “who knows whether it will rain tomorrow or not”
khudā jānē – “god only knows” permission: kyā maiṁ aṁdara āūṁ – “may i come inside?” disjunctions
the subjunctive mood is used with statements like “whether … or”:

mānō yā na mānō – “believe it or not…” avyayas like śāyada, kāśa, kahīṁ, cāhē",,,,
34,3,,"ಅವನು ಹಿಂದಿ ಕಲಿಯಬೇಕು ಎಂದು ನಾನು ಬಯಸುತ್ತೇನೆ.
ನೀವು ಹಿಂದಿ ಕಲಿಯಲು ಬಯಸಿದರೆ ಈ ಲೇಖನವು ನಿಮಗೆ ಉಪಯುಕ್ತವಾಗಿರುತ್ತದೆ.
ಮಗು ಶಾಲೆಗೆ ಹೋಗಲು ಪ್ರಾರಂಭಿಸುವ ಮೊದಲು, ಅವನ ಪೋಷಕರು ಕೆಲವು ಸಿದ್ಧತೆಗಳನ್ನು ಮಾಡಬೇಕು.",nānu baṁdiddēne. nāvu āḍiddēve.,,,,
35,1,"Potential :लकार- लिङ् (गच्छेत्),  Passive कृदन्त-  य, तव्यत्, अनीयर्,",,,,,,
35,2,"The potential mood has several suffixes depending on the pronoun :
I : –ऊँ 
We : –एँ
You : –एँ
He : –ए
She : –ए
They : –एँ                                                                                                खाये, पीये, सोये, जाये",राम घर जाए। मुझे/रामको पढ़ना चाहिए। @ chaitali ji this is not correct example for सम्भावना,rāma ghara jāē. mujhē/rāmakō paṛhanā cāhiē. @ chaitali ji this is not correct example for sambhāvanā,,,,
35,3,"Potential (or the ability to do something)
is expressed by suffixing auxiliaries to
the infinitive of the verb. Positive potential
is expressed by the use of –b@hudu
‘possible’, -b@ll@ ‘can go’ (3sm) or its
variants and –a:gu ‘become/happen’
(Sridhar 1990: 240)","Possibility: ಅನನು ಈ ವರ್ಷ ಪರೀಕ್ಷೆಯಲ್ಲಿ ಪಾಸಾಗಬಹುದು.
He may pass the exam this year
                               

",modalu illi vidyārthigaḷu iruttiddaru.,,,,
36,1,त्वम्/भवान्/भवती + खादतु/खादतात्/पिबतु/पिबतात्/ ददातु/(यच्छतु)/दत्तात्(यच्छतात्)/ स्वपितु/स्वपितात्/धावतु/धावतात्। यूयम्/ भवन्तः/भवत्यः + खादन्तु/पिबन्तु/ददतु/स्वपन्तु/धावन्तु।  ,भवान् जलं पिबतु।,bhavān jalaṁ pibatu.,,,,
36,2,"आप + खाईये, पीजीये, दीजीये, सोईये, भागीये  There is additionally a highly formal imperative, the deferential imperative. It is formed by suffixing इएगा / इयेगा to the verb stem (i.e., by suffixing गा to the formal imperative).

बैठियेगा – Please sit down",आप घर जाइए।  आप पानी पीजिए।,āpa ghara jāiē. āpa pānī pījiē.,,,,
36,3,ho:gu/ho:gi home-dat go-2S/go-2pl/hon. Go home! (source: Sridhar 1990:238).,"ನೀವು ಮನೆಗೆ ಹೋಗಿರಿ. ನೀವು ನೀರು ಕುಡಿಯಿರಿ.Imperative- The plural is also used as the honorific singular. The final u of the verbal base is dropped in plural and replaced by i. ri is also added to express more honor or politeness. When ri is added to the i or e ending verbs, yi comes as a glide between the verbal base and the suffixes.",manīṣā baṭṭe ogeyuttiddaḷu. nalliyiṁda nīru jinuguttittu.,,,,
37,1,"Ability: verb शक् in लट्, noun समर्थ","सः वेगेन धावुतुं शक्नोति।
सः वक्तुं समर्थः अस्ति।","saḥ vēgēna dhāvutuṁ śaknōti.
saḥ vaktuṁ samarthaḥ asti.",,,,
37,2,सकता है,सुनील दो मील तक तैर सकता है।,sunīla dō mīla taka taira sakatā hai.,,,,
37,3,"Kannada (balle (I know, you know)), balla (he knows), ballaḷu (she knows), and balludu, balluvu (neuter) are used giving the meaning of ability in modern Kannada)",Ability: ಸುನೀಲ ಎರಡು ಕಿಲೋಮೀಟರ್ ಓಡಬಲ್ಲ. Sunil can swim two miles,nānu ōdiddeೕne. nānu ōdiddeೕne,,,,
38,1,"लृङ् + यदि-तर्हि, लृङ् + तर्हि, Any + यदि-तर्हि, लृङ् + चेद्, लृङ् + यदि-तदि
","यदि सुवृष्टिर् अभविष्यत्  तदा सुभिक्षम् अभविष्यत्।
यदि निर्वह्निः स्यात् तर्हि निर्धूमः स्यात्।
देवश्चेत् वर्षिष्यति धान्यं वप्स्यामः।

","yadi suvr̥ṣṭir abhaviṣyat tadā subhikṣam abhaviṣyat.
yadi nirvahniḥ syāt tarhi nirdhūmaḥ syāt.
dēvaścēt varṣiṣyati dhānyaṁ vapsyāmaḥ.",,,,
38,2,"Subjunctive mood is used for conditional sentences (Can be used with almost all tenses and moods)   यदि + खाता, पीता, सोता तो जाता, आता(verbal form in past)  In Hindi, the words अगर and यदि are optional, but तो is always required. The presence of तो between two clauses is enough to signal a conditional sentence. (Examples of conditional in various tenses can be seen here https://hindilanguage.info/hindi-grammar/conditional-sentences/) In colloquial Hindi, the relative pronoun जो may be used instead of अगर or यदि. ","यदि मैं पढ़ता तो विद्वान हो जाता। अगर मै बाहर जाता तो मै भीग जाता। Extra sentences आपको हिन्दुस्तानी खाना अच्छा लगता है तो आपको मेरे घर आना चाहिए खाना खाने के लिए – “If you like Indian food then you should come to my house to eat” Conditional Present and Future: Present tense condition present tense consequence अगर आपको हिंदी आती है तो आप यह अख़बार पढ़ सकते हैं – “If you understand Hindi, then you can read this newspaper” : Present tense condition future tense consequence अगर आप रोज़ दौड़ते हैं तो आप उस दौड़ में बहुत आसानी से दौड़ सकेंगे – “If you run daily then you will be able to run in that race very easily”,   Future Condition, Future Consequence अगर आप भारत आयेंगे तो मैं आपको घुमाऊँगी/दिखाऊंगी – “If you come to India, I’ll show you around” Simple Past Condition, Future Consequence अगर तुमने ठीक से हिंदी भाषा पढ़ी तो तुम इसको सीख जाओगे – “If you study the Hindi language properly then you will learn it”","yadi maiṁ paṛhatā tō vidvāna hō jātā. agara mai bāhara jātā tō mai bhīga jātā. extra sentences āpakō hindustānī khānā acchā lagatā hai tō āpakō mērē ghara ānā cāhiē khānā khānē kē liē – “if you like indian food then you should come to my house to eat” conditional present and future: present tense condition present tense consequence agara āpakō hiṁdī ātī hai tō āpa yaha ak͟habāra paṛha sakatē haiṁ – “if you understand hindi, then you can read this newspaper” : present tense condition future tense consequence agara āpa rōza dauṛatē haiṁ tō āpa usa dauṛa mēṁ bahuta āsānī sē dauṛa sakēṁgē – “if you run daily then you will be able to run in that race very easily”, future condition, future consequence agara āpa bhārata āyēṁgē tō maiṁ āpakō ghumāūm̐gī/dikhāūṁgī – “if you come to india, i’ll show you around” simple past condition, future consequence agara tumanē ṭhīka sē hiṁdī bhāṣā paṛhī tō tuma isakō sīkha jāōgē – “if you study the hindi language properly then you will learn it”",,,,
38,3,adding re or rēnē to the infinitive.,"Conditional (suffix  -are –alli) @Annaraoji Yes.
ಮಳೆ ಬಂದರೆ ಒಳಗೆ ಹೋಗೋಣ
If it rains, let’s go inside.
Conditional verbs are formed by adding re or rēnē to the infinitive.ನೀನು ಮಾಡಿದರೆ ನಾನು ನೋಡುತ್ತೇನೆ        I will see if you do.
ಅವನು ಬಂದರೆ ನಾನು ಹೋಗುತ್ತೇನೆ        I will go if he comes.
ಅವರು ಕೇಳಿದರೇನೇ ನಾವು ಕೊಡುತ್ತೇವೆ        We will give only if they ask.
ನೀನು ಪುಸ್ತಕ ಓದಿದರೆ ಒಳ್ಳೆಯದು        It is good if you read books.
ನಾನು ಮನೆಯನ್ನು ಕೊಂಡುಕೊಂಡರೇನೇ ಅವನು ಕೊಂಡುಕೊಳ್ಳುತ್ತಾನೆ        He will buy a house only if I buy. ",avaru barahagāra āgiddāre.,,,,
