tag_id,language_id,example,iso_transliteration,accuracy,sanskrit_translation,english_translation,markers
42,1,,,,,,
42,2, इसके साथ ही बताया गया कि किन कृत्यों को राष्ट्रध्वज का अपमान माना जाएगा । बजट इस बात पर निर्भर करता है कि आप यात्रा के किस साधन का इस्तेमाल कर रहे हैं और वह बाँधवगढ़ से कितना दूर हैं .,isakē sātha hī batāyā gayā ki kina kr̥tyōṁ kō rāṣṭradhvaja kā apamāna mānā jāēgā . bajaṭa isa bāta para nirbhara karatā hai ki āpa yātrā kē kisa sādhana kā istēmāla kara rahē haiṁ aura vaha bām̐dhavagaṛha sē kitanā dūra haiṁ .,"Training support - 72
Test support - 7
Accuracy - 100",,,
42,3,,,no examples,,,
43,1,"शयानं बालकं पश्य।
लिखिते पत्रे इदं कथितम्।","śayānaṁ bālakaṁ paśya.
likhitē patrē idaṁ kathitam.",,,,
43,2,"कांग्रेस अध्यक्ष सोनिया गांधी ने भी महाजन की पत्नी रेखा को लिखे पत्र में कहा है कि वो इस घटना से स्तब्ध हैं ।
word: लिखे        head: पत्र ( Sans trans - लिखिते पत्रे)","kāṁgrēsa adhyakṣa sōniyā gāṁdhī nē bhī mahājana kī patnī rēkhā kō likhē patra mēṁ kahā hai ki vō isa ghaṭanā sē stabdha haiṁ .
word: likhē head: patra ( sans trans - likhitē patrē)","Training support - 1171
Test support - 105
Accuracy - 84.76",,,
43,3,"ಮಲಗಿರುವ ಮಗುವನ್ನು ನೋಡು. ಬರೆದಿರುವ ಪತ್ರ ಇದನ್ನು ಓದಿ ಹೇಳಿ    ಮಲಗಿರುವ - sleeping ಬರೆದಿರುವ- written।      Malagiruva maguvannu nōḍu. Barediruva patra idannu ōdi hēḷi malagiruva - sleeping barediruva- written
","malagiruva maguvannu nōḍu. barediruva patra idannu ōdi hēḷi malagiruva - sleeping barediruva- written. Malagiruva maguvannu nōḍu. Barediruva patra idannu ōdi hēḷi malagiruva - sleeping barediruva- written
",no examples,,,
44,1,,,,,,
44,2,"गोपाल शर्मा ने बताया कि अहमदाबाद में मारा गया आतंकी बाबर , घाटी से ही वहां भेजा गया था ।
word: मारा        head: आतंकी
","gōpāla śarmā nē batāyā ki ahamadābāda mēṁ mārā gayā ātaṁkī bābara , ghāṭī sē hī vahāṁ bhējā gayā thā .
word: mārā head: ātaṁkī
","Training support - 343
Test support - 47
Accuracy - 21.28",,,
44,3,,,no examples,,,
45,1,"""हस्ती मन्दं मन्दं चलति।
word: head:""","""hastī mandaṁ mandaṁ calati.
word: head:""",,,,
45,2,वृन्दावन के कण कण में कृष्ण है। ,vr̥ndāvana kē kaṇa kaṇa mēṁ kr̥ṣṇa hai.,"Training support - 16
Test support - 3
Accuracy - 100",,,
45,3,,,no examples,,,
46,1,बालः शयानः हसति। (वर्तमानकाल-सम्बन्धः),bālaḥ śayānaḥ hasati. (vartamānakāla-sambandhaḥ),,,,
46,2, बच्चा सोते हुए हस रहा है।,baccā sōtē huē hasa rahā hai.,,,,
46,3,ಮಗು ಮಲಗಿಕೊಂಡು ನಗುತ್ತಿದೆ.,magu malagikoṁḍu naguttide.,,,,
47,1,,,,,,
47,2,,,,,,
47,3,,,,,,
48,1,,,,,,
48,2,,,,,,
48,3,,,,,,
49,1,"हस्ती मन्दं मन्दं चलति।
word: head:","hastī mandaṁ mandaṁ calati.
word: head:",,,,
49,2,"कांची कामकोटि पीठ के शंकराचार्य जयेंद्र सरस्वती ने वार्ता के जरिये अयोध्या मसला सुलझाने की दिशा में एक बार फिर मदद की पेशकश की है ।
word: बार	head: फिर
","kāṁcī kāmakōṭi pīṭha kē śaṁkarācārya jayēṁdra sarasvatī nē vārtā kē jariyē ayōdhyā masalā sulajhānē kī diśā mēṁ ēka bāra phira madada kī pēśakaśa kī hai .
word: bāra head: phira
","Training support for rbmod, - 33
Test support - 6
Accuracy - 83.33
Training support for pof_redup - 201
Test support - 18
Accuracy - 94.44",,,
49,3,"ಆನೆಯು ಮೆಲ್ಲ ಮೆಲ್ಲನೆ ನಡೆಯುತ್ತದೆ.   Āneyu mella mellane naḍeyuttade. word: head:
","āneyu mella mellane naḍeyuttade. Āneyu mella mellane naḍeyuttade. word: head:
",no examples,,,
50,1,देवदत्तः अध्यापकः अस्ति।   ,dēvadattaḥ adhyāpakaḥ asti.,,,,
50,2,"दिल्लीवासियों के लिए बृहस्पतिवार का दिन काफी सुहावना रहा ।
word: सुहावना	head: रहा
","dillīvāsiyōṁ kē liē br̥haspativāra kā dina kāphī suhāvanā rahā .
word: suhāvanā head: rahā
","Training support k1s- 2596
Test support - 346
Accuracy - 74.57",,,
50,3,"ದೇವದತ್ತನು ಅಧ್ಯಾಪಕನಾಗಿದ್ದಾನೆ. ಅಧ್ಯಾಪಕ- teacher  ಮಗುವು ಮಲಗಿಕೊಂಡಿದೆ. ಮಲಗಿಕೊಂಡಿದೆ - sleeping                                    Dēvadattanu adhyāpakanāgiddāne. Adhyāpaka- teacher maguvu malagikoṇḍide. Malagikoṇḍide - sleeping
 ","dēvadattanu adhyāpakanāgiddāne. adhyāpaka- teacher maguvu malagikoṁḍide. malagikoṁḍide - sleeping Dēvadattanu adhyāpakanāgiddāne. Adhyāpaka- teacher maguvu malagikoṇḍide. Malagikoṇḍide - sleeping
",,,,
51,1,Word: Head:    ,word: head:,,,,
51,2,"उल्लेखनीय है कि उत्तर प्रदेश और बिहार की सरकारों ने उसके बारे में सूचना देने वाले के लिए दो - दो लाख रुपये का इनाम रखा है .
word: सूचना        head: देने","ullēkhanīya hai ki uttara pradēśa aura bihāra kī sarakārōṁ nē usakē bārē mēṁ sūcanā dēnē vālē kē liē dō - dō lākha rupayē kā ināma rakhā hai .
word: sūcanā head: dēnē","Training support - 11585
Test support - 1508
Accuracy - 88.79",,,
51,3,,,,,,
52,1,,,,,,
52,2,"पांच लाख का इनामी और कुख्यात स्वयंभू नक्सल कमांडर कमलेश्वर बैठा पटना के बाहरी इलाके में पकड़ा गया है .
word: नक्सल        head: कमांडर

","pāṁca lākha kā ināmī aura kukhyāta svayaṁbhū naksala kamāṁḍara kamalēśvara baiṭhā paṭanā kē bāharī ilākē mēṁ pakaṛā gayā hai .
word: naksala head: kamāṁḍara

","Training support - 19067
Test support - 2701
Accuracy - 91.56",,,
52,3,,,no examples,,,
53,1,,,,,,
53,2,"सौरमंडल के दूसरे सबसे बड़े ग्रह शनि के रहस्यों का पता लगाने के लिए प्रक्षेपित किया गया अमेरिकी - यूरोपीयन कैसिनी - हूयजेंस अंतरिक्ष यान शनि की कक्षा में पहुंच गया है ।
word: अमेरिकी         head: यूरोपीयन","sauramaṁḍala kē dūsarē sabasē baṛē graha śani kē rahasyōṁ kā patā lagānē kē liē prakṣēpita kiyā gayā amērikī - yūrōpīyana kaisinī - hūyajēṁsa aṁtarikṣa yāna śani kī kakṣā mēṁ pahuṁca gayā hai .
word: amērikī head: yūrōpīyana","Training support - 2264
Test support - 296
Accuracy - 84.12",,,
53,3,,,no examples,,,
54,1,रामः (समुच्चित) सीता (समुच्चित) च वनं गच्छतः। Word: सीता Head: ;,rāmaḥ (samuccita) sītā (samuccita) ca vanaṁ gacchataḥ. word: sītā head: ;,,,,
54,2,"उत्तर प्रदेश , बिहार और झारखंड की पुलिस उसे पिछले एक दशक से तलाश रही थी .
word: प्रदेश        head: और
","uttara pradēśa , bihāra aura jhārakhaṁḍa kī pulisa usē pichalē ēka daśaka sē talāśa rahī thī .
word: pradēśa head: aura
","Training support - 19040
Test support - 2490
Accuracy - 94.18",,,
54,3,"ರಾಮ ಮತ್ತು ಸೀತೆ ಕಾಡಿಗೆ ಹೋದರು.  ಮತ್ತು-and
                                                                                                          Rāma mattu sīte kāḍige hōdaru. Mattu-and
  Word: Head:  ","rāma mattu sīte kāḍige hōdaru. mattu-and
Rāma mattu sīte kāḍige hōdaru. Mattu-and
Word: Head: ","Training support - 11090
Test support - 2891
Accuracy - ",,,
55,1,देवदत्तः ब्राह्मणाय गां ददाति।,dēvadattaḥ brāhmaṇāya gāṁ dadāti.,,,,
55,2,देवदत्त ब्राह्मणको गाय देता है।,dēvadatta brāhmaṇakō gāya dētā hai.,"Training support - 2135
Test support -282
Accuracy - 72.7",,,
55,3,"ದೇವದತ್ತನು ಬ್ರಾಹ್ಮಣನಿಗೆ ಗೋವನ್ನು ಕೊಟ್ಟನು. ಬ್ರಾಹ್ಮಣನಿಗೆ-to brahmin.   Dēvadattanu brāhmaṇanige gōvannu koṭṭanu. Brāhmaṇanige-to brahmin.
","dēvadattanu brāhmaṇanige gōvannu koṭṭanu. brāhmaṇanige-to brahmin. Dēvadattanu brāhmaṇanige gōvannu koṭṭanu. Brāhmaṇanige-to brahmin.
",,,,
56,1,रामस्य मतानुसारं सीता गृहे अस्ति।,rāmasya matānusāraṁ sītā gr̥hē asti.,,,,
56,2,"राम के अनुसार सीता घर पर है।
शर्मा के मुताबिक ' कांग्रेस व यूपीए की सरकार आतंकवाद से सख्ती से निपटने को प्रतिबद्ध है लेकिन वह पोटा के पक्ष में नहीं है
word: शर्मा        head: है
","rāma kē anusāra sītā ghara para hai.
śarmā kē mutābika ' kāṁgrēsa va yūpīē kī sarakāra ātaṁkavāda sē sakhtī sē nipaṭanē kō pratibaddha hai lēkina vaha pōṭā kē pakṣa mēṁ nahīṁ hai
word: śarmā head: hai
","Training support - 703
Test support - 113
Accuracy - 92.92",,,
56,3,"ರಾಮನ ಅನುಸಾರವಾಗಿ ಸೀತೆಯು ಮನೆಯಲ್ಲಿ ಇಲ್ಲ.  Rāmana anusāravāgi sīteyu maneyalli illa.
षष्ठी + अव्यय or word in सप्तमी- Malyalam, Bangla, Marathi Kannada- prakara is more common","rāmana anusāravāgi sīteyu maneyalli illa. Rāmana anusāravāgi sīteyu maneyalli illa.
षष्ठी + अव्यय or word in सप्तमी- Malyalam, Bangla, Marathi Kannada- prakara is more common","Training support - 113
Test support - 31
Accuracy - ",,,
57,1,सीता अपि  वनं गच्छति।,sītā api vanaṁ gacchati.,,,,
57,2,"राम भी जंगल जाता है। इस नक्सली नेता से पूछताछ के लिए उत्तर प्रदेश और झारखंड से भी एसटीएफ के लोग आ रहे हैं .
word: भी        head: झारखंड            और सोमवार की रात को ही नक्सल कमांडर कमलेश्वर बैठा को शहर के बाहरी इलाके में धर दबोचा .
word: ही        head: रात","rāma bhī jaṁgala jātā hai. isa naksalī nētā sē pūchatācha kē liē uttara pradēśa aura jhārakhaṁḍa sē bhī ēsaṭīēpha kē lōga ā rahē haiṁ .
word: bhī head: jhārakhaṁḍa aura sōmavāra kī rāta kō hī naksala kamāṁḍara kamalēśvara baiṭhā kō śahara kē bāharī ilākē mēṁ dhara dabōcā .
word: hī head: rāta","Training support - 4171
Test support - 545
Accuracy - 97.8

(not present in kannada data)",,,
57,3,"ಸೀತೆಯು ಕೂಡ ವನಕ್ಕೆ ಹೋಗುತ್ತಾಳೆ. ರಾಮನೊಬ್ಬನೆ ಸುಂದರವಾಗಿದ್ದಾನೆ. ಒಬ್ಬನೆ- only.  Sīteyu kūḍa vanakke hōguttāḷe. Rāmanobbane sundaravāgiddāne. Obbane- only.
","sīteyu kūḍa vanakke hōguttāḷe. rāmanobbane suṁdaravāgiddāne. obbane- only. Sīteyu kūḍa vanakke hōguttāḷe. Rāmanobbane sundaravāgiddāne. Obbane- only.
",no example,,,
58,1, रामः एव सुन्दरः।,rāmaḥ ēva sundaraḥ.,,,,
58,2,राम ही सुंदर है।,rāma hī suṁdara hai.,,,,
58,3,,,,,,
59,1,"अहंं भवन्तं मम गृहे भोक्तुम् आह्वयामि।
अध्यापकस्य पुस्तकं छात्राः पठन्ति।
word: मम head: गृहे","ahaṁṁ bhavantaṁ mama gr̥hē bhōktum āhvayāmi.
adhyāpakasya pustakaṁ chātrāḥ paṭhanti.
word: mama head: gr̥hē",,,,
59,2,"रिलायंस समूह में अंबानी बंधुओं के बीच चल रहा स्वामित्व विवाद सुलझाने की प्रक्रिया अचानक तेज होकर सुर्खियों में आ गई है ।
word: सुलझाने	head: प्रक्रिया","rilāyaṁsa samūha mēṁ aṁbānī baṁdhuōṁ kē bīca cala rahā svāmitva vivāda sulajhānē kī prakriyā acānaka tēja hōkara surkhiyōṁ mēṁ ā gaī hai .
word: sulajhānē head: prakriyā","Training support for r6v- 27
Test support - 1
Accuracy - 0
Training support for r6- 16337
Test support - 2287
Accuracy - 93.7",,,
59,3,"ನಾನು ನಿಮ್ಮನ್ನು ನಮ್ಮ ಮನೆಯಲ್ಲಿ ಊಟ ಮಾಡಲು ಆಹ್ವಾನಿಸುತ್ತೇನೆ.   Nānu nim'mannu nam'ma maneyalli ūṭa māḍalu āhvānisuttēne.
word: head:","nānu nimmannu namma maneyalli ūṭa māḍalu āhvānisuttēne. Nānu nim'mannu nam'ma maneyalli ūṭa māḍalu āhvānisuttēne.
word: head:","Training support - 92
Test support - 24
Accuracy - ",,,
60,1,"अम्ब, जलं यच्छतु।
भो राम, मां उद्धर word:  head:","amba, jalaṁ yacchatu.
bhō rāma, māṁ uddhara word: head:",,,,
60,2,"उसने तालिब की मां खुशनूदा से कहा : अम्मी मैं आज से आपकी बहू हूं ।
word: अम्मी        head: हूं            (6)","usanē tāliba kī māṁ khuśanūdā sē kahā : ammī maiṁ āja sē āpakī bahū hūṁ .
word: ammī head: hūṁ (6)","Training support - 6
Test support - 0
Accuracy - na",,,
60,3,"ಹೇ ರಾಮ! ನನ್ನನ್ನು ಉದ್ಧರಿಸು.  Hē rāma! Nannannu ud'dharisu.
word:  head:","hē rāma! nannannu uddharisu. Hē rāma! Nannannu ud'dharisu.
word: head:","Training support - 390
Test support - 125
Accuracy - ",,,
61,1,विद्यार्थी अध्ययनेन विद्यालये वसति। word: head:,vidyārthī adhyayanēna vidyālayē vasati. word: head:,,,,
61,2,"हिमपात से पूरा रिसॉर्ट बर्फ की चार फुट मोटी चादर से आच्छादित हो गया है ।
word: हिमपात        head: हो    Morphological indicator: की and से","himapāta sē pūrā risôrṭa barpha kī cāra phuṭa mōṭī cādara sē ācchādita hō gayā hai .
word: himapāta head: hō morphological indicator: kī and sē","Training support - 1280
Test support - 143
Accuracy - 100",,,
61,3,"""ವಿದ್ಯಾರ್ಥಿಯು ಓದುವುದಕ್ಕಾಗಿ ವಿದ್ಯಾಲಯದಲ್ಲಿ ಇರುತ್ತಾನೆ.   Vidyārthiyu ōduvudakkāgi vidyālayadalli iruttāne.
word: head:""","""vidyārthiyu ōduvudakkāgi vidyālayadalli iruttāne. Vidyārthiyu ōduvudakkāgi vidyālayadalli iruttāne.
word: head:""","Training support - 1571
Test support - 440
Accuracy - ",,,
62,1,व्याघ्रात् बिभेति। जलात् भयम् अस्ति।,vyāghrāt bibhēti. jalāt bhayam asti.,,,,
62,2,"वह शेरसे डरता है।
वह पानीसे डरता है। ","vaha śērasē ḍaratā hai.
vaha pānīsē ḍaratā hai. ",,,,
62,3,ಅವನು ಸಿಂಹವನ್ನು ಕಂಡು ಹೆದರುತ್ತಾನೆ.,avanu siṁhavannu kaṁḍu hedaruttāne.,,,,
63,1,सः अतीव सुन्दरं बालकं पश्यति। Word: Head: ,saḥ atīva sundaraṁ bālakaṁ paśyati. word: head:,,,,
63,2,यह बहुत ही स्वादिष्ट भोजन है। ,"yaha bahuta hī svādiṣṭa bhōjana hai.
",,,,
63,3,ಅವನು ಅತ್ಯಂತ ಸುಂದರವಾದ ಬಾಲಕನನ್ನು ನೋಡಿದನು. ಅತ್ಯಂತ- so beautiful   ," Avanu atyanta sundaravāda bālakanannu nōḍidanu.
Atyanta- so beautiful Word: Head:
",,,,
